volume,position,track_name,artist_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
38,11,Because You Move Me,Tinlicker,0.789,0.435,2,-9.506,0,0.149,0.691,0.0418,0.107,0.166,122.995,audio_features,05GvwwTLLID738BbKN1ze0,spotify:track:05GvwwTLLID738BbKN1ze0,https://api.spotify.com/v1/tracks/05GvwwTLLID738BbKN1ze0,https://api.spotify.com/v1/audio-analysis/05GvwwTLLID738BbKN1ze0,196375,4
38,12,Earth,Lapalux,0.543,0.668,9,-11.182,0,0.0357,0.00233,0.691,0.443,0.11,127.982,audio_features,6s0ZnemE6UIMWk94LAwEZ6,spotify:track:6s0ZnemE6UIMWk94LAwEZ6,https://api.spotify.com/v1/tracks/6s0ZnemE6UIMWk94LAwEZ6,https://api.spotify.com/v1/audio-analysis/6s0ZnemE6UIMWk94LAwEZ6,298125,4
38,13,Second Sun - Extended Mix,Nils Hoffmann,0.753,0.317,2,-11.027,1,0.0459,0.00789,0.845,0.0649,0.141,120.016,audio_features,5BTBDHYUZN7UVW895FvNGj,spotify:track:5BTBDHYUZN7UVW895FvNGj,https://api.spotify.com/v1/tracks/5BTBDHYUZN7UVW895FvNGj,https://api.spotify.com/v1/audio-analysis/5BTBDHYUZN7UVW895FvNGj,336424,4
38,14,Some of Them (feat. MELI) - Lifelike Remix,Amtrac,0.668,0.714,11,-8.152,1,0.0433,0.0964,0.743,0.197,0.592,115.0,audio_features,4Q1z5Wed5wMzErz0W88SLE,spotify:track:4Q1z5Wed5wMzErz0W88SLE,https://api.spotify.com/v1/tracks/4Q1z5Wed5wMzErz0W88SLE,https://api.spotify.com/v1/audio-analysis/4Q1z5Wed5wMzErz0W88SLE,388304,4
38,15,Radical - Edit,Amtrac,0.652,0.751,6,-8.327,0,0.0369,0.112,0.592,0.102,0.0399,122.024,audio_features,7Le48y7wfWRq63dRAzVmWF,spotify:track:7Le48y7wfWRq63dRAzVmWF,https://api.spotify.com/v1/tracks/7Le48y7wfWRq63dRAzVmWF,https://api.spotify.com/v1/audio-analysis/7Le48y7wfWRq63dRAzVmWF,237978,4
37,1,Bower,Luke Howard,0.335,0.033,6,-29.168,1,0.0399,0.992,0.929,0.0801,0.281,72.704,audio_features,14JkIoIim7roZKTi62zhAY,spotify:track:14JkIoIim7roZKTi62zhAY,https://api.spotify.com/v1/tracks/14JkIoIim7roZKTi62zhAY,https://api.spotify.com/v1/audio-analysis/14JkIoIim7roZKTi62zhAY,338929,4
37,2,Human Memory,Susumu Yokota,0.521,0.825,11,-6.681,1,0.0409,0.789,0.882,0.112,0.221,120.017,audio_features,4LjFGyxDIv3gPTFxknNFGB,spotify:track:4LjFGyxDIv3gPTFxknNFGB,https://api.spotify.com/v1/tracks/4LjFGyxDIv3gPTFxknNFGB,https://api.spotify.com/v1/audio-analysis/4LjFGyxDIv3gPTFxknNFGB,351959,4
37,3,Lovely Dots,Jascha Hagen,0.31,0.279,5,-18.353,0,0.0519,0.748,0.922,0.0956,0.031,107.1,audio_features,2Gd8ZQCBOjFfkZu1p7OjjX,spotify:track:2Gd8ZQCBOjFfkZu1p7OjjX,https://api.spotify.com/v1/tracks/2Gd8ZQCBOjFfkZu1p7OjjX,https://api.spotify.com/v1/audio-analysis/2Gd8ZQCBOjFfkZu1p7OjjX,447889,4
37,4,Dissociation In The Car Park At Sain,Laurence Guy,0.673,0.258,1,-18.972,1,0.0387,0.242,0.876,0.105,0.248,122.008,audio_features,5TV8sLY7ur77UGFDtYVXcB,spotify:track:5TV8sLY7ur77UGFDtYVXcB,https://api.spotify.com/v1/tracks/5TV8sLY7ur77UGFDtYVXcB,https://api.spotify.com/v1/audio-analysis/5TV8sLY7ur77UGFDtYVXcB,394143,4
37,5,Aaj Shanibar,Rupa,0.576,0.764,2,-10.799,1,0.188,0.418,0.0749,0.0667,0.823,126.048,audio_features,6EEpz2tuKJ2nBSi8LR1Jv3,spotify:track:6EEpz2tuKJ2nBSi8LR1Jv3,https://api.spotify.com/v1/tracks/6EEpz2tuKJ2nBSi8LR1Jv3,https://api.spotify.com/v1/audio-analysis/6EEpz2tuKJ2nBSi8LR1Jv3,479630,4
37,6,It Might Be Time,Tame Impala,0.586,0.786,2,-3.768,1,0.0484,0.0212,9.35e-05,0.642,0.326,115.959,audio_features,2P0NiuAfypaw5UZJoo0n0o,spotify:track:2P0NiuAfypaw5UZJoo0n0o,https://api.spotify.com/v1/tracks/2P0NiuAfypaw5UZJoo0n0o,https://api.spotify.com/v1/audio-analysis/2P0NiuAfypaw5UZJoo0n0o,273013,4
37,7,Flight 99,Masego,0.589,0.431,9,-10.096,0,0.0475,0.554,0.0317,0.0878,0.159,134.688,audio_features,5z2XleKRbvbiytGucM5v2D,spotify:track:5z2XleKRbvbiytGucM5v2D,https://api.spotify.com/v1/tracks/5z2XleKRbvbiytGucM5v2D,https://api.spotify.com/v1/audio-analysis/5z2XleKRbvbiytGucM5v2D,167143,4
37,8,Close,Jesper Ryom,0.79,0.425,2,-13.43,0,0.0691,0.265,0.922,0.107,0.569,125.001,audio_features,4PjQnCqdF2VmzGsFp2IRAt,spotify:track:4PjQnCqdF2VmzGsFp2IRAt,https://api.spotify.com/v1/tracks/4PjQnCqdF2VmzGsFp2IRAt,https://api.spotify.com/v1/audio-analysis/4PjQnCqdF2VmzGsFp2IRAt,376372,4
